"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37493","Login with valid credentials","Google Chrome","Sun Jun 01 17:53:15 IST 2025","passed","Sun Jun 01 17:53:53 IST 2025","","Login.spec.ts","",""
"","25922","Login with valid credentials","Microsoft Edge","Sun Jun 01 17:53:15 IST 2025","passed","Sun Jun 01 17:53:41 IST 2025","","Login.spec.ts","",""
